Country or Area,Subgroup,Year,Source,Unit,Value
Sierra Leone,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,43000
Singapore,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1500
Singapore,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5500
Slovakia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Slovenia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Somalia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,23000
Somalia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,40000
South Africa,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,3100000
South Africa,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5300000
Spain,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,32000
Spain,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,140000
Sri Lanka,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Sri Lanka,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5000
Sudan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,180000
Sudan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,320000
Suriname,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1400
Suriname,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5100
Swaziland,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,120000
Swaziland,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,210000
Sweden,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2500
Sweden,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,8000
Switzerland,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5900
Switzerland,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,16000
Tajikistan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Tajikistan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4900
Tanzania,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,710000
Tanzania,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1300000
Thailand,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,220000
Thailand,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,560000
Togo,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,61000
Togo,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,100000
Trinidad and Tobago,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,15000
Trinidad and Tobago,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,26000
Tunisia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1900
Tunisia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,8600
Turkmenistan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Uganda,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,520000
Uganda,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,900000
Ukraine,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,200000
Ukraine,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,410000
United Kingdom,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,21000
United Kingdom,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,67000
United States of America,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,300000
United States of America,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1200000
Uruguay,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5300
Uruguay,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,9500
Uzbekistan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4100
Uzbekistan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,31000
Venezuela,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,31000
Venezuela,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,110000
Vietnam,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,84000
Vietnam,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,250000
Zambia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,570000
Zambia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000000
Zimbabwe,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,890000
Zimbabwe,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1500000
