Country or Area,Subgroup,Year,Source,Unit,Value
Cameroon,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,290000
Cameroon,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,470000
Canada,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,9600
Canada,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,59000
Central African Republic,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,130000
Central African Republic,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,230000
Chad,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,90000
Chad,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,160000
Chile,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,7600
Chile,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,28000
China,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,180000
China,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,650000
Colombia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,45000
Colombia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,160000
Comoros,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,100
Comoros,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Congo,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,61000
Congo,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,100000
Congo Dem. Rep.,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,520000
Congo Dem. Rep.,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,890000
Costa Rica,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2000
Costa Rica,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,7300
C̫te d�۪Ivoire,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,400000
C̫te d�۪Ivoire,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,680000
Cuba,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2600
Cuba,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4700
Czech Republic,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Czech Republic,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1500
Denmark,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1300
Denmark,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5500
Djibouti,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,8400
Djibouti,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,14000
Dominican Republic,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,31000
Dominican Republic,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,62000
Ecuador,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,12000
Ecuador,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,22000
Egypt,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Egypt,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5200
El Salvador,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,9900
El Salvador,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,35000
Equatorial Guinea,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4700
Equatorial Guinea,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,8000
Eritrea,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,31000
Eritrea,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,53000
Estonia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2400
Estonia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,10000
Fiji,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Fiji,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Finland,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Finland,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1900
France,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,45000
France,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,130000
Gabon,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,33000
Gabon,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,56000
Gambia The,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,11000
Gambia The,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,19000
Georgia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Georgia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5600
Germany,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,15000
Germany,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,49000
Ghana,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,180000
Ghana,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,300000
Greece,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2000
Greece,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,9300
Guatemala,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,16000
Guatemala,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,59000
Guinea,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,53000
Guinea,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,78000
Guinea-Bissau,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,17000
Guinea-Bissau,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,29000
Guyana,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,6600
Guyana,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,11000
Haiti,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,96000
Haiti,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,180000
Honduras,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,16000
Honduras,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,61000
Hungary,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Hungary,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,3200
Iceland,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,100
Iceland,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
India,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1600000
India,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5600000
Indonesia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,29000
Indonesia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,170000
Iran,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,11000
Iran,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,66000
Ireland,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1800
Ireland,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5000
Italy,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,50000
Italy,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,150000
Jamaica,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,6900
Jamaica,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,25000
Japan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,9900
Japan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,17000
Kazakhstan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,6800
Kazakhstan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,12000
Kenya,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,740000
Kenya,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1200000
Korea Rep,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1400
Korea Rep,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,13000
Kyrgyzstan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Kyrgyzstan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4000
Lao PDR,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Lao PDR,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,3600
Latvia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2200
Latvia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,10000
Lebanon,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Lebanon,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2900
Lesotho,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,150000
Lesotho,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,250000
Lithuania,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Lithuania,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,3300
Luxembourg,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Macedonia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Madagascar,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,13000
Madagascar,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,47000
Malawi,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500000
Malawi,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,850000
Malaysia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,17000
Malaysia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,67000
Mali,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,66000
Mali,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,110000
Malta,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Mauritania,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,6300
Mauritania,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,11000
Mauritius,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Mauritius,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4100
Mexico,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,42000
Mexico,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,180000
Mongolia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,100
Mongolia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,500
Morocco,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4000
Morocco,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,19000
Mozambique,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,960000
Mozambique,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1600000
Myanmar,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,110000
